dataset,status,error,test_score,validation_score,metadata_classes,metadata_dataset,metadata_first_class,metadata_length_consistent,metadata_n_channels,metadata_n_classes,metadata_series_length,metadata_test_size,metadata_train_size,best_params_bootstrap,best_params_ccp_alpha,best_params_criterion,best_params_max_depth,best_params_max_features,best_params_max_leaf_nodes,best_params_max_samples,best_params_min_impurity_decrease,best_params_min_samples_leaf,best_params_min_samples_split,best_params_n_estimators,forest_statistics_avg_depth,forest_statistics_avg_leaves,forest_statistics_avg_nodes,forest_statistics_max_depth,forest_statistics_min_depth,forest_statistics_n_estimators
Herring,optimized,,0.65625,0.7,1|2,Herring,1,True,1,2,512,64,64,True,4.645462260372033e-05,entropy,3,,20,,0.0775817792001393,1,2,300,2.99,4.9366666666666665,8.873333333333333,3,2,300
InlineSkate,optimized,,0.2872727272727273,0.31999999999999995,1|2|3|4|5|6|7,InlineSkate,1,True,1,7,1882,550,100,True,0.028824902123403884,entropy,40,sqrt,,0.5,0.010361554305058666,1,8,130,4.630769230769231,8.553846153846154,16.107692307692307,7,3,130
InsectWingbeatSound,optimized,,0.6212121212121212,0.6454545454545455,1|10|11|2|3|4|5|6|7|8|9,InsectWingbeatSound,1,True,1,11,256,1980,220,True,0.0,entropy,46,sqrt,,0.7,0.07390566455323068,1,4,175,4.937142857142857,12.674285714285714,24.34857142857143,7,4,175
ItalyPowerDemand,optimized,,0.9698736637512148,0.9703296703296704,1|2,ItalyPowerDemand,1,True,1,2,24,1029,67,True,0.03638628715886626,entropy,17,,20,0.5,0.07395042341904205,4,14,169,1.165680473372781,2.165680473372781,3.331360946745562,2,1,169
LargeKitchenAppliances,optimized,,0.576,0.624,1|2|3,LargeKitchenAppliances,1,True,1,3,720,375,375,True,0.010448689182907415,entropy,12,log2,,0.5,0.0022578107441546427,2,2,217,10.027649769585253,33.67741935483871,66.35483870967742,12,7,217
Lightning2,optimized,,0.639344262295082,0.8666666666666666,-1|1,Lightning2,-1,True,1,2,637,61,60,True,0.022748807833174196,entropy,14,,100,0.7,0.02090223222488781,3,20,65,2.046153846153846,3.046153846153846,5.092307692307692,3,1,65
Lightning7,optimized,,0.6712328767123288,0.7142857142857143,0|1|2|3|4|5|6,Lightning7,0,True,1,7,319,73,70,True,0.05,gini,13,,50,,0.0,1,2,217,4.764976958525345,7.304147465437788,13.608294930875577,7,3,217
Mallat,optimized,,0.8874200426439233,0.9272727272727274,1|2|3|4|5|6|7|8,Mallat,1,True,1,8,1024,2345,55,True,0.0,gini,50,sqrt,,0.9,0.020621236759583477,2,2,300,5.096666666666667,7.546666666666667,14.093333333333334,8,3,300
Meat,optimized,,0.9333333333333333,1.0,1|2|3,Meat,1,True,1,3,448,60,60,True,0.04416576386904311,gini,48,,,,0.03535873976284181,7,19,193,2.0,3.0,5.0,2,2,193
MedicalImages,optimized,,0.6631578947368421,0.629835953520164,1|10|2|3|4|5|6|7|8|9,MedicalImages,1,True,1,10,99,760,381,True,0.05,entropy,30,,20,,0.01094882266623129,5,14,172,5.22093023255814,12.494186046511627,23.988372093023255,8,4,172
MelbournePedestrian,optimized,,0.9340232858990944,0.9385076126439447,1|10|2|3|4|5|6|7|8|9,MelbournePedestrian,1,True,1,10,24,2319,1138,True,0.0,entropy,50,log2,50,0.5,0.0,4,3,10,9.3,40.2,79.4,10,8,10
MiddlePhalanxOutlineAgeGroup,optimized,,0.6493506493506493,0.7950000000000002,1|2|3,MiddlePhalanxOutlineAgeGroup,1,True,1,3,80,154,400,True,0.03238369940699992,gini,2,log2,50,0.5,0.0,10,4,146,1.7534246575342465,2.808219178082192,4.616438356164384,2,1,146
MiddlePhalanxOutlineCorrect,optimized,,0.7835051546391752,0.775,0|1,MiddlePhalanxOutlineCorrect,0,True,1,2,80,291,600,True,0.0,entropy,8,log2,,0.7,0.002219431056467593,2,2,10,8.0,35.6,70.2,8,8,10
MiddlePhalanxTW,optimized,,0.5974025974025974,0.6566772151898734,3|4|5|6|7|8,MiddlePhalanxTW,3,True,1,6,80,154,399,True,0.03163418727306635,entropy,3,log2,50,,0.034064259493790446,2,6,285,3.0,5.442105263157894,9.884210526315789,3,3,285
MixedShapesRegularTrain,optimized,,0.8729896907216494,0.8720000000000001,1|2|3|4|5,MixedShapesRegularTrain,1,True,1,5,1024,2425,500,True,0.0,entropy,24,log2,100,,0.0,4,2,251,9.645418326693227,31.816733067729082,62.633466135458164,14,7,251
